Local diagnostic card; no official total score or A5000 result is asserted.
блок                что меряется                                                                   значение           баллы                                       источник                                                           
------------------  -----------------------------------------------------------------------------  -----------------  ------------------------------------------  -------------------------------------------------------------------
Ранжирование        mAP@10 без постобработки                                                       70.5               31.7 / 45 (допущение: линейно)              results\hack_ft_soup_b336_fit_val.json                             
Ранжирование        mAP@10 с постобработкой (k-recip 3/2/0.2, validation; перенос не измерен)      74.2               33.4 / 45 (допущение: линейно)              results/rerank_grid.json, ft_soup_b336_fit                         
Ранжирование        — для сравнения: dba k=5 + k-recip 6/2 ЗАПРЕЩЕНО (ответ 38)                    74.9               не идёт в балл                              тот же файл, блок postprocess                                      
Ранжирование        mAP@10 с каскадом ViT-L по топ-30 (alpha=0.9, validation; перенос не измерен)  79.0               35.5 / 45 (допущение: линейно)              results/cascade_verify_honest.json, ft_soup_b336_fit|ft_l336cam_fit
Отказ               0.7*F1 + 0.3*TNR при пороге 0.55 (F1 96.8, TNR 95.5)                           96.4               диагностика, не балл релиза                 results\refusal_stress_fit.json                                    
Отказ               — то же без одно-камерных дубликатов (стресс)                                  63.2               stress, не балл релиза                      тот же файл                                                        
Отказ               mINP (справочно, в балл не входит)                                             65.7               —                                           тот же файл                                                        
Производительность  латентность batch=1, медиана (300 прогонов)                                    29.7 мс            10.0/10, проекция на этом устройстве        results/bench_full.json                                            
Производительность  лучший FPS (batch 8)                                                           179.4              10.0/10, проекция на этом устройстве        results/bench_full.json                                            
Производительность  — настоящая цена запроса с форвардом ре-ранкера                                44.7 мс            по правилам не в балл; будь иначе — 8.8/10  results/bench_full.json                                            
Производительность  суммарный размер весов, МБ (лимит 2048)                                        743.1              —                                           results/bench_full.json                                            
Производительность  время загрузки весов, с                                                        3.17               —                                           results/bench_full.json                                            
Производительность  пик VRAM, МБ                                                                   2090.5             —                                           results/bench_full.json                                            
Производительность  два прогона совпали бит в бит                                                  True               —                                           results/bench_full.json                                            
Сдача               отказов на открытом тесте                                                      70 из 1110 (6.3%)  —                                           submission/run_info.json                                           
Сдача               размерность вектора                                                            1536               —                                           submission/run_info.json                                           
Сдача               весь прогон, с                                                                 177.4              —                                           submission/run_info.json                                           
Перенос порога      сдвиг медианы уверенности релизной модели                                      +0.0025            —                                           results/threshold_transfer.json                                    
Перенос порога      решений перевернулось бы при выравнивании доли                                 1 из 1110          —                                           results/threshold_transfer.json                                    

Блоки: ранжирование 45%, отказ 10%, производительность 20%. Защита и продукт (25%) не здесь.
