Local diagnostic card; no official total score or A5000 result is asserted.
блок                что меряется                                                               значение           баллы                                 источник                                    
------------------  -------------------------------------------------------------------------  -----------------  ------------------------------------  --------------------------------------------
Ранжирование        mAP@10 без постобработки                                                   79.5               35.8 / 45 (допущение: линейно)        results\hack_ft_soup_r392dw40f4_fit_val.json
Ранжирование        mAP@10 с постобработкой (k-recip 3/2/0.2, validation; перенос не измерен)  74.2               33.4 / 45 (допущение: линейно)        results/rerank_grid.json, ft_soup_b336_fit  
Ранжирование        — для сравнения: dba k=5 + k-recip 3/2 ЗАПРЕЩЕНО (ответ 38)                82.8               не идёт в балл                        тот же файл, блок postprocess               
Отказ               0.7*F1 + 0.3*TNR при пороге 0.65 (F1 95.1, TNR 99.6)                       96.4               диагностика, не балл релиза           results\refusal_stress_fit.json             
Отказ               — то же без одно-камерных дубликатов (стресс)                              46.3               stress, не балл релиза                тот же файл                                 
Отказ               mINP (справочно, в балл не входит)                                         76.3               —                                     тот же файл                                 
Производительность  латентность batch=1, медиана (300 прогонов)                                33.5 мс            10.0/10, проекция на этом устройстве  results/bench_full.json                     
Производительность  лучший FPS (batch 8)                                                       147.7              10.0/10, проекция на этом устройстве  results/bench_full.json                     
Производительность  суммарный размер весов, МБ (лимит 2048)                                    164.3              —                                     results/bench_full.json                     
Производительность  время загрузки весов, с                                                    3.77               —                                     results/bench_full.json                     
Производительность  пик VRAM, МБ                                                               1800.7             —                                     results/bench_full.json                     
Производительность  два прогона совпали бит в бит                                              True               —                                     results/bench_full.json                     
Сдача               отказов на открытом тесте                                                  83 из 1110 (7.5%)  —                                     submission/run_info.json                    
Сдача               размерность вектора                                                        1536               —                                     submission/run_info.json                    
Сдача               весь прогон, с                                                             83.3               —                                     submission/run_info.json                    
Перенос порога      сдвиг медианы уверенности релизной модели                                  +0.0025            —                                     results/threshold_transfer.json             
Перенос порога      решений перевернулось бы при выравнивании доли                             1 из 1110          —                                     results/threshold_transfer.json             

Блоки: ранжирование 45%, отказ 10%, производительность 20%. Защита и продукт (25%) не здесь.
